element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Na,0.14007127,-0.6514604,-1.9120524,-0.5408481,-0.8360607,-0.45166346,0.54054606,0.56816083,0.2680266,-0.103183396,-0.3241846,-1.4965883,0.6092832,0.18522891,0.018872818,0.04668641,0.5394053,0.811362,0.2509413,-0.09825484,0.3524388,-0.21746312,-0.745266,0.750588,-0.9771824,-0.9597388,-0.5220913,0.15539473,0.40305,0.6825605,0.40567207,-0.14980811,-0.43004975,0.3774959,-0.96799123,0.14005011,1.5342578,-0.93904406,1.1855556,-0.8612777,0.52761006,-0.099798836,-0.30000514,-0.41963184,0.23155573,-2.4093199,1.1281223,-0.54918945,0.19565521,0.91988647,0.10563587,1.4147927,0.5208848,-0.39851412,-0.12684833,-0.74553806,-0.73619175,1.2170042,-0.2846597,0.48793516,0.15454406,0.013472372,-0.07285716,-1.639822,1.1966671,-1.2691967,-0.7248224,-1.4126233,1.5570995,0.23987328,-0.6333303,-0.30182096,0.8182923,0.81478906,-0.43128335,0.3489383,1.2040547,0.41077027,0.48402804,-0.2702479,-0.42572775,0.94720054,1.2893744,-0.6827787,-0.75669885,0.073018074,-1.7177193,-1.4172087,-1.745629,0.9281407,-0.49846083,0.9939127,-1.7865343,-0.8583552,-0.3919096,0.63891816,0.10321943,-0.87163997,-0.23115575,-0.08699747
Mg,-0.8612751,0.5606819,-0.9037662,0.8050518,-0.6206357,0.53849405,0.18491858,-0.1179417,0.262253,-0.14663358,-0.050609954,-0.061328627,1.0058837,0.13013901,0.25997978,-0.3995128,0.12110931,0.9364718,-0.09429629,-0.22693357,0.0048440387,-0.11423728,-0.055912502,0.008376926,-0.9075762,-0.45923477,-1.5543728,0.2145353,-0.15136401,-1.0111405,0.8496641,-0.2086812,-1.1409321,0.16904318,1.1681739,0.4409018,0.6202522,0.0014513013,-1.362166,-0.18252519,0.42883372,1.3997841,0.4601425,-0.93204045,-0.3461728,1.203508,-0.6812071,1.6815872,-0.21300726,-0.27231327,0.4532015,0.80630064,-0.074916735,1.6726893,-0.019578272,0.28656936,-0.9122895,-0.9009962,0.07098101,-0.5972887,-0.115736,-0.016178856,0.55733067,-0.6332816,-0.4324911,1.5256659,-1.3570086,1.0115633,-0.49884865,1.1253175,1.8961989,-0.114923395,-1.3433114,-0.50013685,0.9989378,-0.11614306,-0.46765274,-0.07229109,0.43874156,1.0224069,0.5424739,0.69466126,1.269949,1.0518299,-1.5872979,-0.65292716,-0.22174908,1.4151373,-1.7234192,0.3648725,0.9158886,-3.1199005,-0.32806882,-0.20885892,0.6784371,1.0076622,1.4622605,0.07822178,1.1544099,0.32649046
Al,-0.97899574,-0.35352775,0.21565464,0.024945227,-0.6782098,0.5685626,1.4392672,0.8106954,-0.24378768,-0.8214916,0.82641745,0.008098219,0.44498658,0.078893304,0.96374536,1.438989,0.08945189,1.5838858,-1.3584903,0.2627791,-0.054653965,0.99623865,1.5475608,-0.74574924,0.5196514,1.7981869,-0.38281506,0.40365487,1.2661445,-1.0593594,1.5320215,-0.031649314,0.0634836,1.3392584,-0.4325512,1.6112708,-0.14296643,1.5141208,-0.5705958,-0.31423548,2.0590017,0.889147,-0.14445502,-0.83540463,-2.5266445,0.70837283,-0.040914983,-0.91827023,0.7937731,0.33862355,-0.7748462,0.8828764,-0.4732029,-0.35476667,0.17178212,-0.4888583,-0.2741497,-0.74734646,-0.95471793,-0.081530824,0.5643063,-1.2093313,-0.6347228,0.15788855,0.19536354,0.285649,0.18334644,0.5416336,-1.1627905,-1.6224221,-0.39259773,-0.95846087,0.7157478,0.98001266,0.72927815,-1.6698695,0.87784463,-0.63696915,1.5774422,-2.4214447,-0.7747415,-1.2274433,1.1490902,1.2008835,-1.7797524,-1.0724841,0.95466906,0.7728153,0.14787038,-1.5911111,0.5955863,3.186494,-0.29649115,0.19973032,-0.120483965,0.41297033,-1.4592588,-0.26319593,0.7979224,-1.4996122
Si,-0.8661391,-0.09958863,-0.14380485,0.53117496,0.18945275,-0.4643563,0.30376178,2.7080598,1.3111352,0.8627364,-1.1904837,0.14422967,0.3760284,-0.2523776,1.5330336,0.6748358,-0.7519714,0.3945928,0.13323605,-1.2915943,-1.5286363,0.10385161,0.058585092,-0.33741972,0.42589664,0.6544216,-0.4364319,-0.5651479,0.025261521,0.14235415,0.046049163,-0.19237371,-0.9762772,-0.9295327,0.46877116,0.8258052,-0.4645442,0.3511384,0.03283142,-0.92613435,-0.05411983,0.7136935,-1.3088017,-0.6134805,-0.35087478,-0.6016529,0.9913524,0.70443904,0.1645697,0.40361148,-1.3603618,-0.4420959,-0.79599464,-0.7214478,-1.2415575,-0.79195803,0.5077646,-0.81014085,-0.6740158,0.69086385,1.6008893,-0.19029944,1.5204797,-0.8703067,-1.0058885,-0.94055325,0.9861051,0.24830183,1.5647601,0.897206,-1.792202,0.33404672,-0.25672182,0.21495312,-0.81832826,-0.5464435,-0.52229655,0.7396641,-0.078255236,1.1199868,-1.1156613,0.4239565,0.7806247,2.530574,1.6208714,-0.82085705,1.1448756,0.24187024,-1.6736901,2.6705406,-0.22232151,-0.383378,0.12361485,0.6188592,-0.60509247,-0.67663836,-1.3291276,-1.7871318,-1.4993824,0.3719948
P,1.8422018,-2.7458158,1.1519158,4.4723167,-2.3390021,0.22602168,-1.1208088,-1.5364944,3.4759555,0.2933637,2.4990976,-0.032507222,0.2990384,-1.2206343,0.054252796,1.5641617,-1.2524537,-0.61460686,1.163575,1.0294126,1.0008835,-1.3231596,-1.051542,-2.7297866,0.3966392,-0.49756572,-0.5400675,0.58676285,-1.3953516,1.6064684,1.0709294,-0.7042854,1.6812619,-1.7143048,-0.8338684,-1.489283,-0.2782969,0.4586277,-0.9553446,0.3559415,0.5900382,0.80847895,0.7841685,-1.5006859,-0.71666276,0.24266338,0.94827867,-0.7715117,-0.47313532,0.56862974,0.066035606,0.07261114,-0.39015198,-1.4920267,-0.6388797,1.7109582,-0.026959136,0.5254953,0.22945285,-0.27768394,0.61226207,-0.55460536,-0.056190446,-0.50901705,-0.3265145,-0.06417606,-0.23732331,-0.25704768,0.55648077,1.1453168,1.0214063,0.15245003,1.147581,0.2244945,0.25222892,-0.13956936,0.07817419,-0.3279394,0.29503468,-0.13664047,0.6200542,0.260004,-0.26433304,0.7536251,-0.13047476,0.1631381,0.2536942,0.028320936,0.24112982,0.12355207,0.25731754,0.099986106,0.023630576,0.09775856,-0.047398288,0.15409277,0.018275578,-0.06984056,-0.06050588,-0.4220238
S,1.6494036,-0.03178024,0.20582789,-0.7019895,-0.113698445,0.8142192,0.3465797,0.865569,-0.09276002,-0.90453184,-0.40642747,-0.5627379,0.059325334,1.8424397,-0.3913709,-0.43202284,-0.7797938,-0.8601043,-0.0723578,-1.0115266,-0.6780082,-0.30982092,0.69316566,-0.057522047,0.08724209,0.4323703,0.6074948,0.48282376,0.08506834,-0.22241914,1.2423966,-1.0942652,-0.4307727,0.14292145,-1.3340154,0.16664794,-0.4908306,-0.41783705,-1.4393147,0.15052897,-0.43721238,-0.07991681,0.33547062,-1.2738185,0.83721036,1.3398107,-0.116157725,0.08853702,-0.6637669,-0.6207879,0.25061214,-1.3642093,0.9206806,0.79351676,-1.9807184,0.7457712,1.0791025,-1.9390501,-0.35508242,0.4972031,1.8735693,-0.61967236,-0.13686341,0.39151287,-0.27638793,0.054620076,-0.27569062,-0.18884358,1.5674621,-1.2549123,-0.4830049,1.4389781,0.85370076,-0.5390701,-0.87919843,-0.53130174,2.7398157,-1.114358,1.2113835,-1.8793911,-0.6535445,0.41522223,0.97898257,-0.2403294,1.3599612,-1.0554425,-0.0056614582,-0.9444572,1.763902,1.111835,-1.099006,-2.2759016,-2.5432618,-0.6225188,2.1384132,-0.2168915,-0.3561641,1.0946813,2.7751245,-0.85018367
Cl,0.6813766,1.3061965,-0.9844283,0.52837914,0.5083475,0.18506792,-1.1953365,0.26101533,0.3842339,1.0192639,0.50466263,0.5824784,1.1360984,-0.20683256,-1.1134375,-0.6294829,1.1235809,0.8101266,1.0059181,0.68564594,-1.6966472,-0.1611185,1.3273116,0.32453358,-0.9995286,0.28275245,0.25666627,0.64068514,-0.657728,-0.1412409,0.5301351,1.2930208,0.40349624,0.1440897,-0.4416881,-0.1435602,-0.2794727,0.26357308,1.0518886,0.5118246,-0.94539475,0.41557464,1.9451672,-0.6557174,-1.7110989,-0.35391164,0.4341296,-1.4910704,0.25759792,-0.88375664,-0.40638414,-0.6907244,-1.5826179,0.3428249,-1.0378433,-1.5831409,1.6697147,-0.28395972,1.0860194,-0.5209089,-1.2667402,0.80298483,-0.67536056,-1.9707246,0.17483066,0.2906785,-0.8220205,-0.107372664,1.173372,-1.4655566,0.111784324,0.837785,-0.8140904,-0.8919566,-0.1649895,-0.31245914,0.22014159,0.14023708,-1.0746218,0.13383888,0.07337953,0.7920995,0.10515567,1.2166121,-0.5277379,0.5550968,0.2214674,1.4913841,-0.26927856,-1.5051697,-0.10313002,-0.04843969,1.5844915,2.7120662,-0.4991295,-2.4279196,-0.36377478,0.71585095,1.3951085,-1.0333366
Ar,-0.22748949,0.022832206,-0.3134036,-0.34850273,0.7432755,-0.251154,-0.9598197,-0.3177642,0.32760566,-0.5365466,-0.34809506,-0.09941982,0.22072853,-0.51158965,1.1646572,1.2294466,0.7517331,0.088349335,0.6673361,-0.98784304,0.70193774,-0.45293236,0.10959546,0.28380102,-1.1217024,-0.38900724,-1.0090678,1.7934345,0.17116308,1.4272918,-0.87375104,-0.533954,-0.0030413282,0.6029821,0.7605148,-0.17411539,-0.7568578,-0.6081494,0.31022087,1.2450223,2.251196,-0.27556634,-1.5280119,-0.45969418,-0.516795,-0.9515831,-0.7882328,-1.6103613,0.08902216,0.7155476,-1.0948681,0.6716531,0.1086324,0.82345796,-0.4574424,-0.35375747,1.3581349,-1.022947,0.8527087,0.92090374,2.312856,0.8193889,0.5946786,1.0896577,-1.257933,-0.7019034,-0.29329163,-0.50774366,-1.1691213,0.054854482,0.8444269,-1.0269191,-0.5539135,0.32670376,-0.22451171,-0.8666505,0.21860404,-1.1370963,0.71063983,-1.3377395,1.6066278,-0.4014964,-0.9558152,-1.0710737,-0.66624236,-0.63857514,0.026489096,2.8872998,0.028827589,-0.4558717,-1.7821281,0.52976954,-0.98909694,-0.5426469,-0.79326856,-0.81157947,-0.2289546,1.1287304,-1.353098,4.236019
K,1.4981116,-2.2632773,0.46383432,2.0778322,-2.4279394,-0.64189327,-0.25006536,-1.3067243,1.0429759,0.68220496,2.9645216,-1.4432012,0.57190555,-0.25708273,1.0950292,-0.91881275,-1.4669971,-0.15149847,0.5332173,-0.57218087,0.054093163,-0.55849475,0.2340209,3.0774384,-1.7247424,4.4163475,1.8879913,-0.049797047,-0.8041308,-0.9843663,-0.9991218,-0.013319686,-1.5298167,2.0181618,0.8619173,0.7462387,1.0648749,-0.0628264,1.2273993,0.73809737,-0.36576575,-0.98210174,-0.7609292,1.2672862,0.8915292,-1.3713361,-1.1493819,1.5717233,-0.11903913,-1.2701837,-0.06972108,-1.1223989,1.0108836,0.5875001,0.74017644,-1.9443889,0.6738925,-0.8601929,-1.2413385,0.33556572,-0.13627836,0.48615748,0.44283968,0.08326408,1.0588441,0.62092906,0.23649086,0.62079793,-0.26517764,-1.0499204,-0.11963807,0.21507975,0.010075729,0.43017086,-0.8185875,0.118755236,-0.46571016,0.45357615,-0.19952048,-0.21253406,0.07663393,-0.549163,0.09991006,-0.5985359,-0.5617592,-0.5398558,-0.6441608,0.18491232,-0.5456752,0.18109822,-0.4731038,-0.20652443,0.34810838,-0.34731087,0.36280778,-0.24975088,-0.13412097,-0.17408404,-0.344473,0.09299177
Ca,1.721155,-0.60299426,-1.3939764,0.89772296,-1.7221311,-0.6356258,-0.56805426,0.037678372,-0.64916605,-0.5361056,-0.77031344,-0.060925417,-0.30064306,0.00031835554,-1.2321274,-0.20355354,1.8800495,0.93775433,-0.06487367,-0.17540096,0.11802292,0.44867083,-0.22421655,-0.82498443,-0.3779299,0.14791024,-0.74806464,-0.8605567,1.4410912,0.6453069,-0.7823697,-0.23176523,-0.4438267,1.759489,-0.187703,-1.3278035,0.014051716,0.49502504,0.12493749,-0.2620635,-2.1387343,0.27140412,-0.10947706,0.29604977,-0.8520161,0.43807992,-0.79503095,0.8656635,1.7058164,2.944562,0.08884879,0.3801096,-0.7302004,-1.0922992,0.89968264,-1.5265414,-0.12988532,-0.097262524,-0.78913075,1.2223129,0.33771363,0.44830343,-0.37534013,0.2832324,-0.14898689,2.6201153,1.1532083,-0.7863153,-0.39812267,0.5643237,-0.22071186,0.69571614,-2.1697123,-0.105982095,1.6000128,-0.8620933,0.15788263,-0.17290762,-1.8155327,0.55014765,3.1621552,0.9486589,0.30668038,0.49874094,1.9429958,-0.96572345,0.1480669,0.8157665,2.9512427,0.6567952,0.9638702,0.010397821,-0.77799684,-1.5970378,0.048656326,0.0031959272,-1.5987495,-0.108328946,0.75764894,-0.95761305
